"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2018","6,176.44","6,176.44","6,176.44","6,176.44","-","0.52%"
"Jan 28, 2018","6,144.72","6,144.72","6,144.72","6,144.72","-","-1.14%"
"Jan 25, 2018","6,215.80","6,215.80","6,215.80","6,215.80","-","0.24%"
"Jan 24, 2018","6,200.68","6,200.68","6,200.68","6,200.68","-","-0.10%"
"Jan 23, 2018","6,206.72","6,206.72","6,206.72","6,206.72","-","0.19%"
"Jan 22, 2018","6,195.00","6,195.00","6,195.00","6,195.00","-","0.78%"
"Jan 21, 2018","6,147.19","6,147.19","6,147.19","6,147.19","-","0.41%"
"Jan 18, 2018","6,122.23","6,122.23","6,122.23","6,122.23","-","0.39%"
"Jan 17, 2018","6,098.32","6,098.32","6,098.32","6,098.32","-","-0.50%"
"Jan 16, 2018","6,128.80","6,128.80","6,128.80","6,128.80","-","1.17%"
"Jan 15, 2018","6,057.85","6,057.85","6,057.85","6,057.85","-","-0.98%"
"Jan 14, 2018","6,117.89","6,117.89","6,117.89","6,117.89","-","-0.99%"
"Jan 11, 2018","6,179.32","6,179.32","6,179.32","6,179.32","-","0.11%"
"Jan 10, 2018","6,172.44","6,172.44","6,172.44","6,172.44","-","-0.42%"
"Jan 09, 2018","6,198.53","6,198.53","6,198.53","6,198.53","-","-0.19%"
"Jan 08, 2018","6,210.50","6,210.50","6,210.50","6,210.50","-","-0.92%"
"Jan 07, 2018","6,268.42","6,268.42","6,268.42","6,268.42","-","-0.55%"
"Jan 04, 2018","6,302.84","6,302.84","6,302.84","6,302.84","-","-0.24%"
"Jan 03, 2018","6,318.27","6,318.27","6,318.27","6,318.27","-","0.61%"
"Jan 02, 2018","6,279.96","6,279.96","6,279.96","6,279.96","-","0.41%"
"Jan 01, 2018","6,254.41","6,254.41","6,254.41","6,254.41","-","0.16%"
"Dec 28, 2017","6,244.52","6,244.52","6,244.52","6,244.52","-","0.94%"
"Dec 27, 2017","6,186.46","6,186.46","6,186.46","6,186.46","-","0.31%"
"Dec 26, 2017","6,167.56","6,167.56","6,167.56","6,167.56","-","0.13%"
"Dec 24, 2017","6,159.30","6,159.30","6,159.30","6,159.30","-","-0.38%"
"Dec 21, 2017","6,182.78","6,182.78","6,182.78","6,182.78","-","-0.22%"
"Dec 20, 2017","6,196.48","6,196.48","6,196.48","6,196.48","-","-0.52%"
"Dec 19, 2017","6,228.65","6,228.65","6,228.65","6,228.65","-","0.07%"
"Dec 18, 2017","6,224.60","6,224.60","6,224.60","6,224.60","-","0.19%"
"Dec 17, 2017","6,213.08","6,213.08","6,213.08","6,213.08","-","-0.27%"
"Dec 14, 2017","6,230.01","6,230.01","6,230.01","6,230.01","-","0.10%"
"Dec 13, 2017","6,224.07","6,224.07","6,224.07","6,224.07","-","-0.44%"
"Dec 12, 2017","6,251.60","6,251.60","6,251.60","6,251.60","-","0.89%"
"Dec 11, 2017","6,196.65","6,196.65","6,196.65","6,196.65","-","-0.13%"
"Dec 10, 2017","6,204.43","6,204.43","6,204.43","6,204.43","-","-0.70%"
"Dec 07, 2017","6,248.22","6,248.22","6,248.22","6,248.22","-","-0.29%"
"Dec 06, 2017","6,266.29","6,266.29","6,266.29","6,266.29","-","-0.33%"
"Dec 05, 2017","6,286.75","6,286.75","6,286.75","6,286.75","-","0.38%"
"Dec 04, 2017","6,262.76","6,262.76","6,262.76","6,262.76","-","-0.53%"
"Dec 03, 2017","6,296.20","6,296.20","6,296.20","6,296.20","-","-0.17%"
"Nov 30, 2017","6,306.86","6,306.86","6,306.86","6,306.86","-","0.45%"
"Nov 29, 2017","6,278.55","6,278.55","6,278.55","6,278.55","-","0.10%"
"Nov 28, 2017","6,272.57","6,272.57","6,272.57","6,272.57","-","-0.47%"
"Nov 27, 2017","6,302.45","6,302.45","6,302.45","6,302.45","-","-0.54%"
"Nov 26, 2017","6,336.88","6,336.88","6,336.88","6,336.88","-","0.23%"
"Nov 23, 2017","6,322.51","6,322.51","6,322.51","6,322.51","-","0.53%"
"Nov 22, 2017","6,289.33","6,289.33","6,289.33","6,289.33","-","0.12%"
"Nov 21, 2017","6,281.87","6,281.87","6,281.87","6,281.87","-","-0.59%"
"Nov 20, 2017","6,319.12","6,319.12","6,319.12","6,319.12","-","0.19%"
"Nov 19, 2017","6,306.95","6,306.95","6,306.95","6,306.95","-","0.40%"
"Nov 16, 2017","6,282.09","6,282.09","6,282.09","6,282.09","-","0.74%"
"Nov 15, 2017","6,235.71","6,235.71","6,235.71","6,235.71","-","-0.26%"
"Nov 14, 2017","6,252.14","6,252.14","6,252.14","6,252.14","-","0.57%"
"Nov 13, 2017","6,216.61","6,216.61","6,216.61","6,216.61","-","-0.12%"
"Nov 12, 2017","6,223.78","6,223.78","6,223.78","6,223.78","-","0.49%"
"Nov 09, 2017","6,193.56","6,193.56","6,193.56","6,193.56","-","0.56%"
"Nov 08, 2017","6,159.07","6,159.07","6,159.07","6,159.07","-","0.48%"
"Nov 07, 2017","6,129.69","6,129.69","6,129.69","6,129.69","-","0.41%"
"Nov 06, 2017","6,104.50","6,104.50","6,104.50","6,104.50","-","0.52%"
"Nov 05, 2017","6,072.99","6,072.99","6,072.99","6,072.99","-","-0.43%"
"Nov 02, 2017","6,099.02","6,099.02","6,099.02","6,099.02","-","0.44%"
"Nov 01, 2017","6,072.33","6,072.33","6,072.33","6,072.33","-","0.88%"
"Oct 31, 2017","6,019.59","6,019.59","6,019.59","6,019.59","-","0.39%"
"Oct 30, 2017","5,996.24","5,996.24","5,996.24","5,996.24","-","0.01%"
"Oct 29, 2017","5,995.41","5,995.41","5,995.41","5,995.41","-","-0.38%"
"Oct 26, 2017","6,018.25","6,018.25","6,018.25","6,018.25","-","0.28%"
"Oct 25, 2017","6,001.52","6,001.52","6,001.52","6,001.52","-","0.56%"
"Oct 24, 2017","5,968.02","5,968.02","5,968.02","5,968.02","-","-0.23%"
"Oct 23, 2017","5,981.95","5,981.95","5,981.95","5,981.95","-","-0.98%"
"Oct 22, 2017","6,041.20","6,041.20","6,041.20","6,041.20","-","0.03%"
"Oct 19, 2017","6,039.55","6,039.55","6,039.55","6,039.55","-","0.24%"
"Oct 18, 2017","6,025.27","6,025.27","6,025.27","6,025.27","-","-0.11%"
"Oct 17, 2017","6,031.74","6,031.74","6,031.74","6,031.74","-","0.30%"
"Oct 16, 2017","6,013.84","6,013.84","6,013.84","6,013.84","-","0.08%"
"Oct 15, 2017","6,008.94","6,008.94","6,008.94","6,008.94","-","-0.91%"
"Oct 12, 2017","6,064.40","6,064.40","6,064.40","6,064.40","-","-0.72%"
"Oct 11, 2017","6,108.57","6,108.57","6,108.57","6,108.57","-","-0.54%"
"Oct 10, 2017","6,141.81","6,141.81","6,141.81","6,141.81","-","0.21%"
"Oct 09, 2017","6,128.89","6,128.89","6,128.89","6,128.89","-","-1.23%"
"Oct 08, 2017","6,205.50","6,205.50","6,205.50","6,205.50","-","0.05%"
"Oct 05, 2017","6,202.31","6,202.31","6,202.31","6,202.31","-","0.69%"
"Oct 04, 2017","6,159.95","6,159.95","6,159.95","6,159.95","-","0.44%"
"Oct 03, 2017","6,133.22","6,133.22","6,133.22","6,133.22","-","0.66%"
"Oct 02, 2017","6,092.95","6,092.95","6,092.95","6,092.95","-","0.00%"
"Sep 28, 2017","6,092.84","6,092.84","6,092.84","6,092.84","-","0.22%"
"Sep 27, 2017","6,079.32","6,079.32","6,079.32","6,079.32","-","-0.41%"
"Sep 26, 2017","6,104.27","6,104.27","6,104.27","6,104.27","-","-0.03%"
"Sep 25, 2017","6,106.24","6,106.24","6,106.24","6,106.24","-","-0.96%"
"Sep 24, 2017","6,165.32","6,165.32","6,165.32","6,165.32","-","-0.08%"
"Sep 21, 2017","6,170.47","6,170.47","6,170.47","6,170.47","-","-0.04%"
"Sep 20, 2017","6,172.91","6,172.91","6,172.91","6,172.91","-","-1.02%"
"Sep 19, 2017","6,236.58","6,236.58","6,236.58","6,236.58","-","0.01%"
"Sep 18, 2017","6,235.94","6,235.94","6,235.94","6,235.94","-","-0.07%"
"Sep 17, 2017","6,240.57","6,240.57","6,240.57","6,240.57","-","0.59%"
"Sep 14, 2017","6,203.90","6,203.90","6,203.90","6,203.90","-","0.31%"
